Name	Code	Sector
코데즈컴바인	047770	Consumer Cyclical
아이디스홀딩스	054800	Technology
소리바다	053110	Communication Services
에스지에이	049470	Technology
지에스이	053050	Utilities
한창바이오텍	043090	Healthcare
메디콕스	054180	Industrials
코나아이	052400	Technology
강원랜드	035250	Consumer Cyclical
코미팜	041960	Healthcare
프리엠스	053160	Industrials
한컴위드	054920	Technology
포스코케미칼	003670	Basic Materials
경남제약	053950	Healthcare
삼보모터스	053700	Consumer Cyclical
태웅	044490	Industrials
에이디칩스	054630	Technology
유진로봇	056080	Industrials
이니텍	053350	Technology
YW	051390	Communication Services
삼영엠텍	054540	Industrials
상신브레이크	041650	Consumer Cyclical
유씨아이	038340	Financial Services
성호전자	043260	Industrials
코위버	056360	Technology
에이피에스홀딩스	054620	Technology
종근당바이오	063160	Healthcare
엑사이엔씨	054940	Financial Services
피에이치에이	043370	Consumer Cyclical
신화인터텍	056700	Technology
성우테크론	045300	Technology
에스에프에이	056190	Technology
리노공업	058470	Technology
크로바하이텍	043590	Industrials
비츠로시스	054220	Technology
동아화성	041930	Basic Materials
오리엔탈정공	014940	Industrials
룽투코리아	060240	Communication Services
씨앤티85	056730	Industrials
금강철강	053260	Basic Materials
엔에이치엔한국사이버결제	060250	Financial Services
일진디스플레이	020760	Technology
레드로버	060300	Communication Services
한빛소프트	047080	Communication Services
링네트	042500	Technology
팬스타엔터프라이즈	054300	Consumer Cyclical
제이웨이	058420	Communication Services
대동스틸	048470	Industrials
큐로컴	040350	Healthcare
프럼파스트	035200	Basic Materials
한국컴퓨터	054040	Technology
유신	054930	Industrials
미코	059090	Technology
서울반도체	046890	Industrials
일야	058450	Consumer Cyclical
아가방앤컴퍼니	013990	Consumer Cyclical
제일바이오	052670	Healthcare
고려신용정보	049720	Financial Services
뉴보텍	060260	Utilities
파나케이아	058530	Industrials
동양에스텍	060380	Basic Materials
백금티앤에이	046310	Financial Services
광주신세계	037710	Communication Services
코스맥스비티아이	044820	Financial Services
한국기업평가	034950	Financial Services
구영테크	053270	Consumer Cyclical
피씨디렉트	051380	Technology
